"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Aug-2023","EQ","3,074.00","3,079.95","3,040.70","3,067.20","3,047.15","3,048.55","3,054.51","3,210.00","2,269.60","4,71,698","1,44,08,08,435.10","45,180"
"25-Aug-2023","EQ","3,055.00","3,074.75","3,037.55","3,061.20","3,063.00","3,067.20","3,055.72","3,210.00","2,269.60","6,48,003","1,98,01,17,038.85","50,776"
"24-Aug-2023","EQ","3,075.70","3,099.90","3,056.25","3,070.00","3,056.35","3,061.20","3,078.24","3,210.00","2,269.60","6,18,626","1,90,42,76,854.55","55,119"
"23-Aug-2023","EQ","3,075.60","3,085.00","3,056.30","3,075.60","3,069.00","3,070.00","3,074.01","3,210.00","2,269.60","6,02,197","1,85,11,59,530.40","62,367"
"22-Aug-2023","EQ","3,084.95","3,091.00","3,040.10","3,078.30","3,078.45","3,075.60","3,067.29","3,210.00","2,269.60","7,14,220","2,19,07,17,582.95","58,414"
"21-Aug-2023","EQ","3,051.00","3,082.50","3,050.00","3,050.45","3,078.00","3,078.30","3,066.18","3,210.00","2,269.60","7,06,621","2,16,66,28,268.90","59,192"
"18-Aug-2023","EQ","3,070.60","3,079.50","3,035.00","3,071.75","3,052.00","3,050.45","3,053.20","3,210.00","2,269.60","8,60,782","2,62,81,38,142.85","60,031"
"17-Aug-2023","EQ","3,018.00","3,079.45","3,012.00","3,011.10","3,071.50","3,071.75","3,057.50","3,210.00","2,269.60","16,99,758","5,19,70,07,141.75","1,41,448"
"16-Aug-2023","EQ","3,005.00","3,015.90","2,978.05","3,010.65","3,011.00","3,011.10","2,994.57","3,210.00","2,269.60","5,44,441","1,63,03,65,942.15","51,197"
"14-Aug-2023","EQ","3,020.35","3,020.35","2,988.35","3,017.25","3,010.00","3,010.65","3,006.65","3,210.00","2,269.60","5,42,561","1,63,12,91,517.45","73,800"
"11-Aug-2023","EQ","2,988.50","3,067.45","2,980.00","2,988.55","3,017.20","3,017.25","3,029.48","3,210.00","2,269.60","18,23,274","5,52,35,63,461.00","1,03,627"
"10-Aug-2023","EQ","2,958.00","2,995.50","2,917.00","2,955.90","2,988.00","2,988.55","2,958.98","3,210.00","2,269.60","9,70,990","2,87,31,37,608.55","60,947"
"09-Aug-2023","EQ","2,924.00","2,962.00","2,918.15","2,921.25","2,962.00","2,955.90","2,937.70","3,210.00","2,269.60","6,00,081","1,76,28,60,589.65","46,972"
"08-Aug-2023","EQ","2,918.00","2,932.00","2,904.60","2,904.60","2,920.80","2,921.25","2,922.69","3,210.00","2,269.60","4,74,417","1,38,65,74,975.10","55,992"
"07-Aug-2023","EQ","2,919.95","2,919.95","2,882.45","2,904.40","2,908.00","2,904.60","2,897.68","3,210.00","2,269.60","5,80,359","1,68,16,97,434.45","64,116"
"04-Aug-2023","EQ","2,919.95","2,935.80","2,898.00","2,902.10","2,902.75","2,904.40","2,913.55","3,210.00","2,269.60","7,09,334","2,06,66,80,614.00","83,590"
"03-Aug-2023","EQ","2,937.95","2,986.95","2,883.00","2,977.15","2,906.00","2,902.10","2,916.69","3,210.00","2,269.60","33,19,847","9,68,29,74,440.40","2,44,114"
"02-Aug-2023","EQ","3,005.65","3,005.70","2,960.00","3,001.90","2,964.25","2,977.15","2,979.50","3,210.00","2,269.60","11,52,335","3,43,33,86,949.15","72,369"
"01-Aug-2023","EQ","3,024.85","3,027.50","2,987.70","3,004.05","3,006.00","3,001.90","3,004.71","3,210.00","2,269.60","6,02,288","1,80,97,00,780.35","46,366"
"31-Jul-2023","EQ","2,950.00","3,017.95","2,950.00","2,987.00","3,014.90","3,004.05","2,987.66","3,210.00","2,269.60","6,56,048","1,96,00,50,758.05","55,960"
"28-Jul-2023","EQ","3,008.15","3,010.00","2,951.70","3,002.10","2,986.00","2,987.00","2,972.41","3,210.00","2,266.55","8,37,051","2,48,80,62,158.10","68,404"
"27-Jul-2023","EQ","3,013.95","3,024.10","2,983.65","3,008.35","3,004.00","3,002.10","3,000.64","3,210.00","2,266.55","5,95,544","1,78,70,10,849.95","47,129"
"26-Jul-2023","EQ","3,044.90","3,044.90","2,995.00","3,029.00","3,008.10","3,008.35","3,016.11","3,210.00","2,266.55","5,88,487","1,77,49,40,539.80","49,420"
"25-Jul-2023","EQ","2,980.00","3,032.90","2,972.75","2,979.20","3,030.00","3,029.00","3,009.07","3,210.00","2,266.55","8,74,788","2,63,22,98,633.40","72,141"
"24-Jul-2023","EQ","2,978.00","2,992.90","2,951.25","2,976.30","2,985.90","2,979.20","2,976.00","3,210.00","2,266.55","5,23,141","1,55,68,66,525.70","60,067"
"21-Jul-2023","EQ","2,990.75","3,005.00","2,970.00","2,989.30","2,977.80","2,976.30","2,987.73","3,210.00","2,194.05","5,99,594","1,79,14,25,341.60","59,051"
"20-Jul-2023","EQ","3,002.25","3,016.60","2,966.00","2,995.65","2,990.75","2,989.30","2,983.37","3,210.00","2,194.05","10,21,556","3,04,76,74,498.15","1,00,521"
"19-Jul-2023","EQ","3,010.10","3,017.40","2,985.05","2,996.45","2,995.05","2,995.65","2,998.37","3,210.00","2,194.05","5,68,891","1,70,57,46,832.20","63,323"
"18-Jul-2023","EQ","3,033.45","3,039.95","2,963.40","3,033.45","2,992.75","2,996.45","2,993.38","3,210.00","2,194.05","13,59,863","4,07,05,88,683.90","96,423"
"17-Jul-2023","EQ","3,070.00","3,072.95","3,020.00","3,055.55","3,027.00","3,033.45","3,041.42","3,210.00","2,194.05","8,66,575","2,63,56,20,641.05","85,730"
"14-Jul-2023","EQ","3,093.65","3,097.35","3,042.60","3,084.75","3,070.00","3,055.55","3,061.70","3,210.00","2,107.45","7,21,349","2,20,85,54,417.55","68,834"
"13-Jul-2023","EQ","3,113.95","3,114.60","3,079.30","3,096.50","3,090.00","3,084.75","3,096.73","3,210.00","2,107.45","9,32,018","2,88,62,04,735.75","73,745"
"12-Jul-2023","EQ","3,114.00","3,124.00","3,087.65","3,087.60","3,098.00","3,096.50","3,102.14","3,210.00","2,107.45","13,00,168","4,03,32,99,629.90","90,291"
"11-Jul-2023","EQ","3,062.85","3,098.00","3,044.80","3,045.55","3,086.35","3,087.60","3,066.87","3,210.00","2,107.45","11,41,925","3,50,21,37,394.95","91,482"
"10-Jul-2023","EQ","3,155.00","3,155.00","3,030.25","3,144.00","3,052.00","3,045.55","3,065.98","3,210.00","2,107.45","17,77,220","5,44,89,18,220.75","1,32,594"
"07-Jul-2023","EQ","3,140.00","3,210.00","3,126.40","3,106.40","3,144.00","3,144.00","3,181.19","3,210.00","1,928.00","36,30,808","11,55,03,02,098.25","1,52,127"
