"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Aug-2023","EQ","4,887.45","4,911.80","4,805.80","4,874.50","4,823.00","4,814.10","4,837.38","5,364.00","4,086.00","4,88,260","2,36,18,98,626.10","36,770"
"30-Aug-2023","EQ","4,881.95","4,889.95","4,845.00","4,878.40","4,884.00","4,874.50","4,866.89","5,364.00","4,086.00","3,96,122","1,92,78,82,193.60","37,138"
"29-Aug-2023","EQ","4,906.00","4,945.00","4,858.90","4,905.45","4,872.00","4,878.40","4,892.43","5,364.00","4,086.00","5,91,619","2,89,44,53,432.35","47,675"
"28-Aug-2023","EQ","4,874.90","4,911.85","4,842.00","4,865.50","4,906.00","4,905.45","4,886.78","5,364.00","4,086.00","2,04,098","99,73,81,156.35","24,600"
"25-Aug-2023","EQ","4,900.00","4,913.10","4,846.00","4,919.95","4,859.00","4,865.50","4,871.75","5,364.00","3,987.85","2,49,504","1,21,55,20,458.05","24,127"
"24-Aug-2023","EQ","4,955.00","4,983.50","4,900.10","4,945.60","4,907.00","4,919.95","4,942.68","5,364.00","3,987.85","5,34,065","2,63,97,14,057.40","35,355"
"23-Aug-2023","EQ","4,958.00","4,987.00","4,911.00","4,919.65","4,942.00","4,945.60","4,960.18","5,364.00","3,987.85","5,97,123","2,96,18,37,305.15","47,527"
"22-Aug-2023","EQ","4,947.90","4,959.00","4,906.15","4,932.65","4,924.50","4,919.65","4,934.16","5,364.00","3,987.85","1,75,172","86,43,26,266.95","20,348"
"21-Aug-2023","EQ","4,881.00","4,945.45","4,840.00","4,848.35","4,927.00","4,932.65","4,892.88","5,364.00","3,987.85","2,43,126","1,18,95,86,248.20","34,575"
"18-Aug-2023","EQ","4,874.95","4,895.00","4,825.10","4,892.75","4,840.00","4,848.35","4,858.42","5,364.00","3,987.85","3,36,848","1,63,65,50,180.75","33,539"
"17-Aug-2023","EQ","4,940.50","4,960.00","4,872.55","4,941.90","4,880.05","4,892.75","4,899.24","5,364.00","3,987.85","3,75,779","1,84,10,33,245.35","48,159"
"16-Aug-2023","EQ","4,800.00","4,953.95","4,754.10","4,820.85","4,946.00","4,941.90","4,894.64","5,364.00","3,987.85","6,67,417","3,26,67,67,425.50","94,863"
"14-Aug-2023","EQ","4,863.00","4,927.55","4,730.00","4,906.15","4,822.00","4,820.85","4,808.15","5,364.00","3,987.85","8,32,136","4,00,10,35,622.70","78,496"
"11-Aug-2023","EQ","4,930.00","5,012.00","4,811.15","4,922.50","4,886.00","4,906.15","4,940.46","5,364.00","3,987.85","10,66,479","5,26,88,98,904.90","1,02,162"
"10-Aug-2023","EQ","4,981.40","4,981.45","4,903.60","4,981.35","4,925.90","4,922.50","4,928.11","5,364.00","3,987.85","3,70,166","1,82,42,17,209.20","41,419"
"09-Aug-2023","EQ","5,023.35","5,026.00","4,958.00","5,023.35","4,975.05","4,981.35","4,986.30","5,364.00","3,987.85","2,68,668","1,33,96,60,161.95","35,980"
"08-Aug-2023","EQ","5,017.00","5,055.00","4,980.15","5,014.40","5,022.00","5,023.35","5,025.18","5,364.00","3,987.85","5,19,420","2,61,01,77,891.95","48,009"
"07-Aug-2023","EQ","4,980.30","5,024.90","4,956.35","4,980.30","5,017.00","5,014.40","4,997.22","5,364.00","3,987.85","6,08,113","3,03,88,76,168.80","40,215"
"04-Aug-2023","EQ","5,025.00","5,036.45","4,964.00","4,996.30","4,983.00","4,980.30","4,988.57","5,364.00","3,987.85","3,58,846","1,79,01,29,997.05","34,584"
"03-Aug-2023","EQ","4,960.00","5,030.00","4,956.30","4,996.75","4,995.00","4,996.30","4,994.62","5,364.00","3,987.85","4,12,037","2,05,79,69,308.75","44,239"
"02-Aug-2023","EQ","5,033.00","5,043.70","4,976.00","5,032.40","4,996.00","4,996.75","5,001.12","5,364.00","3,987.85","10,16,605","5,08,41,62,890.75","46,828"
"01-Aug-2023","EQ","5,210.00","5,210.00","5,021.55","5,173.45","5,037.00","5,032.40","5,068.40","5,364.00","3,987.85","10,44,095","5,29,18,86,213.80","80,380"
"31-Jul-2023","EQ","5,339.95","5,339.95","5,158.55","5,346.95","5,185.00","5,173.45","5,207.19","5,364.00","3,987.85","6,89,230","3,58,89,48,653.80","61,453"
